============= Kyber-1024
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=3329
dim = 1918, m = 893, dvol = 7242.61152315450, β = 873.2308

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 10, threads = 95, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:      219, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1443, cost =
 index:      220, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1418, cost =
 index:      221, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1433, cost =
 index:      222, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1434, cost =
 index:      223, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1435, cost =
 index:      224, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1441, cost =
 index:      225, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1452, cost =
 index:      226, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1452, cost =
 index:      227, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1425, cost =
 index:      228, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1442, cost =
 index:      229, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1453, cost =
 index:      230, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1453, cost =
 index:      231, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1453, cost =
 index:      232, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1453, cost =
 index:      233, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1453, cost =
 index:      234, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1425, cost =
 index:      235, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1432, cost =
 index:      236, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1441, cost =
 index:      237, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1449, cost =
 index:      238, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1449, cost =
 index:      239, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1427, cost =
 index:      240, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1448, cost =
 index:      241, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1452, cost =
 index:      242, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1463, cost =
 index:      243, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1432, cost =
 index:      244, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1453, cost =
 index:      245, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1466, cost =
 index:      246, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1474, cost =
 index:      247, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1484, cost =
 index:      248, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1448, cost =
 index:      249, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1456, cost =
 index:      250, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1469, cost =
 index:      251, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1477, cost =
 index:      252, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1477, cost =
 index:      253, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1441, cost =
 index:      254, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1467, cost =
 index:      255, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1470, cost =
 index:      256, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1482, cost =
 index:      257, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1448, cost =
 index:      258, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1472, cost =
 index:      259, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1485, cost =
 index:      260, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1493, cost =
