============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 3, threads = 95, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:      176, (  59,   7): (  59,   4) --> (1499,   1), goal index:      837, cost =
 index:      177, (  58,   7): (  58,   4) --> (1499,   1), goal index:      852, cost =
 index:      178, (  58,   7): (  58,   4) --> (1499,   1), goal index:      843, cost =
 index:      179, (  59,   7): (  59,   4) --> (1499,   1), goal index:      854, cost =
 index:      180, (  59,   7): (  59,   4) --> (1499,   1), goal index:      870, cost =
 index:      181, (  58,   7): (  58,   4) --> (1499,   1), goal index:      883, cost =
 index:      182, (  58,   7): (  58,   4) --> (1499,   1), goal index:      847, cost =
 index:      183, (  59,   7): (  59,   4) --> (1499,   1), goal index:      859, cost =
 index:      184, (  58,   4): (  58,   1) --> (1499,   1), goal index:      875, cost =
 index:      185, (  58,   4): (  58,   1) --> (1499,   1), goal index:      892, cost =
 index:      186, (  59,   7): (  59,   4) --> (1499,   1), goal index:      908, cost =
 index:      187, (  59,   7): (  59,   4) --> (1499,   1), goal index:      916, cost =
 index:      188, (  59,   7): (  59,   4) --> (1499,   1), goal index:      856, cost =
 index:      189, (  59,   7): (  59,   4) --> (1499,   1), goal index:      870, cost =
 index:      190, (  59,   7): (  59,   4) --> (1499,   1), goal index:      863, cost =
 index:      191, (  58,   7): (  58,   4) --> (1499,   1), goal index:      871, cost =
 index:      192, (  58,   7): (  58,   4) --> (1499,   1), goal index:      856, cost =
 index:      193, (  59,   7): (  59,   4) --> (1499,   1), goal index:      865, cost =
 index:      194, (  58,   4): (  58,   1) --> (1499,   1), goal index:      882, cost =
 index:      195, (  59,   7): (  59,   4) --> (1499,   1), goal index:      901, cost =
 index:      196, (  60,   7): (  60,   4) --> (1499,   1), goal index:      917, cost =
 index:      197, (  59,   7): (  59,   4) --> (1499,   1), goal index:      927, cost =
 index:      198, (  59,   7): (  59,   4) --> (1499,   1), goal index:      937, cost =
 index:      199, (  58,   4): (  58,   1) --> (1499,   1), goal index:      948, cost =
 index:      200, (  59,   7): (  59,   4) --> (1499,   1), goal index:      880, cost =
 index:      201, (  58,   4): (  58,   1) --> (1499,   1), goal index:      876, cost =
 index:      202, (  59,   7): (  59,   4) --> (1499,   1), goal index:      882, cost =
 index:      203, (  59,   7): (  59,   4) --> (1499,   1), goal index:      894, cost =
 index:      204, (  59,   7): (  59,   4) --> (1499,   1), goal index:      876, cost =
 index:      205, (  59,   7): (  59,   4) --> (1499,   1), goal index:      881, cost =
 index:      206, (  59,   7): (  59,   4) --> (1499,   1), goal index:      876, cost =
 index:      207, (  59,   7): (  59,   4) --> (1499,   1), goal index:      884, cost =
 index:      208, (  60,   7): (  60,   4) --> (1499,   1), goal index:      902, cost =
 index:      209, (  59,   7): (  59,   4) --> (1499,   1), goal index:      913, cost =
