============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 30, threads = 50, prec = 1.000000e+03, strategy_add_method = 2

 index:  125, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22565, cost =
 index:  126, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22089, cost =
 index:  127, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22375, cost =
 index:  128, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22475, cost =
 index:  129, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 22517, cost =
 index:  130, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 22565, cost =
 index:  131, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22600, cost =
 index:  132, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22161, cost =
 index:  133, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22491, cost =
 index:  134, (beta,j): ( 352,  11) --> ( 699,   1), goal index: 22594, cost =
 index:  135, (beta,j): ( 352,  11) --> ( 699,   1), goal index: 22665, cost =
 index:  136, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22704, cost =
 index:  137, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22321, cost =
 index:  138, (beta,j): ( 335,   1) --> ( 699,   1), goal index: 22400, cost =
 index:  139, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22545, cost =
 index:  140, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22689, cost =
 index:  141, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 22756, cost =
 index:  142, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22798, cost =
 index:  143, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 22663, cost =
 index:  144, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 22871, cost =
 index:  145, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 22944, cost =
 index:  146, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22674, cost =
 index:  147, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22886, cost =
 index:  148, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22938, cost =
 index:  149, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 22978, cost =
 index:  150, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22824, cost =
 index:  151, (beta,j): ( 352,  11) --> ( 699,   1), goal index: 22618, cost =
 index:  152, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 21849, cost =
 index:  153, (beta,j): ( 336,  15) --> ( 699,   1), goal index: 22158, cost =
 index:  154, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 21887, cost =
 index:  155, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 22231, cost =
 index:  156, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22374, cost =
 index:  157, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22442, cost =
 index:  158, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 21448, cost =
 index:  159, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 21784, cost =
 index:  160, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22025, cost =
 index:  161, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22235, cost =
 index:  162, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22264, cost =
 index:  163, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22256, cost =
 index:  164, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22244, cost =
 index:  165, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 22285, cost =
 index:  166, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 22344, cost =
 index:  167, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 22315, cost =
 index:  168, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 22396, cost =
 index:  169, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 22424, cost =
 index:  170, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22450, cost =
 index:  171, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22414, cost =
 index:  172, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22477, cost =
 index:  173, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22507, cost =
 index:  174, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22515, cost =
 index:  175, (beta,j): ( 352,  11) --> ( 699,   1), goal index: 22535, cost =
 index:  176, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 22527, cost =
 index:  177, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22729, cost =
 index:  178, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22826, cost =
 index:  179, (beta,j): ( 336,  15) --> ( 699,   1), goal index: 22859, cost =
