============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS)
beta_start= 79, gap = 1, J = 5, J_gap = 1, cost_model = 1, max_loop = 5, threads = 1, G_prec = 1.000000e-03,  slope_prec = 0.000000e+00,  progressive_sieve = 1, average_case, Min G2 Strategy. 

 index:      127, (beta,j): ( 125,   1) --> ( 699,   1), goal index:     2252, cost =
 index:      128, (beta,j): ( 126,   5) --> ( 699,   1), goal index:     2252, cost =
 index:      129, (beta,j): ( 126,   1) --> ( 699,   1), goal index:     2254, cost =
 index:      130, (beta,j): ( 127,   5) --> ( 699,   1), goal index:     2262, cost =
 index:      131, (beta,j): ( 127,   1) --> ( 699,   1), goal index:     2266, cost =
 index:      132, (beta,j): ( 128,   5) --> ( 699,   1), goal index:     2275, cost =
 index:      133, (beta,j): ( 128,   1) --> ( 699,   1), goal index:     2285, cost =
 index:      134, (beta,j): ( 129,   5) --> ( 699,   1), goal index:     2283, cost =
 index:      135, (beta,j): ( 129,   1) --> ( 699,   1), goal index:     2288, cost =
 index:      136, (beta,j): ( 130,   5) --> ( 699,   1), goal index:     2292, cost =
 index:      137, (beta,j): ( 130,   1) --> ( 699,   1), goal index:     2300, cost =
 index:      138, (beta,j): ( 131,   5) --> ( 699,   1), goal index:     2308, cost =
 index:      139, (beta,j): ( 131,   1) --> ( 699,   1), goal index:     2308, cost =
 index:      140, (beta,j): ( 132,   5) --> ( 699,   1), goal index:     2318, cost =
 index:      141, (beta,j): ( 132,   1) --> ( 699,   1), goal index:     2321, cost =
 index:      142, (beta,j): ( 133,   5) --> ( 699,   1), goal index:     2329, cost =
 index:      143, (beta,j): ( 133,   1) --> ( 699,   1), goal index:     2336, cost =
 index:      144, (beta,j): ( 134,   5) --> ( 699,   1), goal index:     2344, cost =
 index:      145, (beta,j): ( 134,   1) --> ( 699,   1), goal index:     2346, cost =
 index:      146, (beta,j): ( 135,   5) --> ( 699,   1), goal index:     2354, cost =
 index:      147, (beta,j): ( 135,   1) --> ( 699,   1), goal index:     2361, cost =
 index:      148, (beta,j): ( 136,   5) --> ( 699,   1), goal index:     2369, cost =
 index:      149, (beta,j): ( 136,   1) --> ( 699,   1), goal index:     2374, cost =
 index:      150, (beta,j): ( 137,   5) --> ( 699,   1), goal index:     2375, cost =
 index:      151, (beta,j): ( 137,   1) --> ( 699,   1), goal index:     2378, cost =
 index:      152, (beta,j): ( 138,   5) --> ( 699,   1), goal index:     2386, cost =
 index:      153, (beta,j): ( 138,   1) --> ( 699,   1), goal index:     2388, cost =
 index:      154, (beta,j): ( 139,   5) --> ( 699,   1), goal index:     2395, cost =
 index:      155, (beta,j): ( 139,   1) --> ( 699,   1), goal index:     2402, cost =
 index:      156, (beta,j): ( 140,   5) --> ( 699,   1), goal index:     2411, cost =
 index:      157, (beta,j): ( 140,   1) --> ( 699,   1), goal index:     2424, cost =
 index:      158, (beta,j): ( 141,   5) --> ( 699,   1), goal index:     2435, cost =
 index:      159, (beta,j): ( 141,   1) --> ( 699,   1), goal index:     2442, cost =
 index:      160, (beta,j): ( 142,   5) --> ( 699,   1), goal index:     2448, cost =
 index:      161, (beta,j): ( 142,   1) --> ( 699,   1), goal index:     2452, cost =
 index:      162, (beta,j): ( 143,   5) --> ( 699,   1), goal index:     2457, cost =
 index:      163, (beta,j): ( 143,   1) --> ( 699,   1), goal index:     2464, cost =
 index:      164, (beta,j): ( 144,   5) --> ( 699,   1), goal index:     2466, cost =
 index:      165, (beta,j): ( 144,   1) --> ( 699,   1), goal index:     2464, cost =
