============= Dilithium-I
[0m[1;31m dim = 2049, dvol = 15614.22 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 10, threads = 50, prec = 1.000000e+02, strategy_add_method = 2

 index:  302, (beta,j): ( 228,  15) --> ( 499,   1), goal index:  986, cost =
 index:  303, (beta,j): ( 228,   5) --> ( 499,   1), goal index:  986, cost =
 index:  304, (beta,j): ( 228,   4) --> ( 499,   1), goal index:  986, cost =
 index:  305, (beta,j): ( 229,  13) --> ( 499,   1), goal index:  986, cost =
 index:  306, (beta,j): ( 229,   9) --> ( 499,   1), goal index:  987, cost =
 index:  307, (beta,j): ( 229,   3) --> ( 499,   1), goal index:  987, cost =
 index:  308, (beta,j): ( 230,  14) --> ( 499,   1), goal index:  988, cost =
 index:  309, (beta,j): ( 231,   1) --> ( 499,   1), goal index:  990, cost =
 index:  310, (beta,j): ( 232,  15) --> ( 499,   1), goal index:  991, cost =
 index:  311, (beta,j): ( 233,  15) --> ( 499,   1), goal index:  991, cost =
 index:  312, (beta,j): ( 233,   4) --> ( 499,   1), goal index:  991, cost =
 index:  313, (beta,j): ( 235,  14) --> ( 499,   1), goal index:  991, cost =
 index:  314, (beta,j): ( 235,   3) --> ( 499,   1), goal index:  991, cost =
 index:  315, (beta,j): ( 236,   1) --> ( 499,   1), goal index:  991, cost =
 index:  316, (beta,j): ( 237,  14) --> ( 499,   1), goal index:  991, cost =
 index:  317, (beta,j): ( 237,  12) --> ( 499,   1), goal index:  991, cost =
 index:  318, (beta,j): ( 237,  10) --> ( 499,   1), goal index:  991, cost =
 index:  319, (beta,j): ( 237,   7) --> ( 499,   1), goal index:  991, cost =
 index:  320, (beta,j): ( 237,   1) --> ( 499,   1), goal index:  992, cost =
 index:  321, (beta,j): ( 238,   7) --> ( 499,   1), goal index:  992, cost =
 index:  322, (beta,j): ( 238,   6) --> ( 499,   1), goal index:  992, cost =
 index:  323, (beta,j): ( 238,   4) --> ( 499,   1), goal index:  992, cost =
 index:  324, (beta,j): ( 239,  13) --> ( 499,   1), goal index:  993, cost =
 index:  325, (beta,j): ( 239,   2) --> ( 499,   1), goal index:  993, cost =
 index:  326, (beta,j): ( 240,  15) --> ( 499,   1), goal index:  994, cost =
 index:  327, (beta,j): ( 240,  14) --> ( 499,   1), goal index:  994, cost =
 index:  328, (beta,j): ( 240,   8) --> ( 499,   1), goal index:  994, cost =
 index:  329, (beta,j): ( 241,  14) --> ( 499,   1), goal index:  994, cost =
 index:  330, (beta,j): ( 241,  12) --> ( 499,   1), goal index:  994, cost =
